title,cast,release_year
Finding Dory,"Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Hayden Rolence, Ty Burrell",2016
Finding Nemo,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney",2003
First Kid,"Sinbad , Robert Guillaume, Timothy Busfield, Brock Pierce, James Naughton, Art Fleur",1996
Flight of the Navigator,"Joey Cramer, Veronica Cartwright, Cliff De Young, Sarah Parker, Matt Adler, Howard Hesseman",1986
Float,"Eli Fucile, Bobby Rubio, Luna Watson, Mika Kubo",2019
Flowers and Trees,,1932
Flubber,"Robin Williams, Marcia Harden, Christopher McDonald, Raymond Barry, Clancy Brown, Ted Levine",1997
Food for Feudin',,1950
For the Birds,,2001
Forky Asks a Question: What is Money?,"Tony Hale, John Ratzenberger, Bob Peterson",2019
Frank and Ollie,"Frank Thomas, Ollie Johnston, Sylvia Roemer, John Canemaker, John Culhane, Marie Johnston",1995
Frankenweenie (Short),"Shelley Duvall, Daniel Stern, Barret Oliver",1984
Freaky Friday,"Jamie Curtis, Lindsay Lohan, Harold Gould, Chad Murray, Stephen Tobolowsky, Christina Vidal",2003
Free Solo,"Alex Honnold, Tommy Caldwell",2018
Frenemies,"Zendaya , Bella Thorne, Mary Mouser, Nick Robinson, Stefanie Scott, Connor Price",2012
Frozen,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk",2013
Full-Court Miracle,"Alex Linz, R.H. Thomson, Sean Marquette, Jase Blankfort, Erik Knudsen, David Sazant",2003
Fun and Fancy Free,"Edgar Bergen, Dinah Shore, Luana Patten, Clarence Nash, Mickey Mouse, Cliff Edwards",1947
Fuzzbucket,"Chris Hebert, Phil Fondacaro, Joe Regalbuto, Wendy Phillips, Robyn Lively, John Vernon",1986
Gargoyles,"Thom Hernandez, Edward Asner, Jeff Bennett, Keith David, Bill Fagerbakke, Jonathan Frakes",1994
Geek Charming,"Sarah Hyland, Matt Prokop, Sasha Pieterse, Jordan Nichols, Vanessa Morgan, Lili Simmons",2011
Genius,"Trevor Morgan, Emmy Rossum, Yannick Bisson, Peter Keleghan, Philip Granger, Charles Fleischer",1999
George & A.J.,"Jason Topolski, A.J. Riebli  III, Steve Purcell, Peter Sohn, Bob Peterson, Kim Donovan",2009
Geri's Game,Bob Peterson,1997
Get a Clue,"Lindsay Lohan, Bug Hall, Ian Gomez, Brenda Song, Ali Mukadam, Dan Lett",2002
Giants of the Deep Blue,Bill Graves,2018
Girl Meets World,"Rowan Blanchard, Ben Savage, Sabrina Carpenter, Peyton Meyer, August Maturo, Danielle Fishel",2013
Go Figure,"Jordan Hinson, Whitney Sloan, Cristine Rose",2005
Going to the Mat,"Andrew Lawrence, Khleo Thomas, Alessandra Toreson, Billy Brown, Brenda Strong, Brian Wimmer",2004
Good Luck Charlie,"Bridgit Mendler, Leigh-Allyn Baker, Bradley Perry, Mia Talerico, Eric Kramer, Jason Dolley",2009
"Good Luck Charlie, It's Christmas!","Bridgit Mendler, Leigh-Allyn Baker, Bradley Perry, Mia Talerico, Debra Monk, Michael Kagan",2011
Goof Troop,"Nancy Cartwright, Jim Cummings, Dana Hill, Rob Paulson, Corey Burton, Bill Farmer",1992
Gotta Kick it Up,"Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez, Sabrina Wiener, Miguel Sandoval",2002
Grand Canyonscope,,1954
Grasshopper and the Ants,,1934
Great Migrations,Alec Baldwin,2010
Greyfriars Bobby,"Donald Crisp, Laurence Naismith, Alex Mackenzie, Duncan Macrae, Andrew Cruickshank, Gordon Jackson",1961
Gus,"Edward Asner, Don Knotts, Gary Grimes, Tim Conway, Liberty Williams, Dick Van Patten",1976
Halloweentown,"Debbie Reynolds, Judith Hoag, Kimberly Brown, Joey Zimmerman, Phillip Van Dyke, Emily Roeske",1998
Halloweentown High,"Kimberly Brown, Judith Hoag, Joey Zimmerman, Emily Roeske, Clifton Davis, Finn Wittrock",2004
Halloweentown II: Kalabar's Revenge,"Kimberly Brown, Judith Hoag, Daniel Kountz, Joseph Zimmerman, Emily Roeske, Phillip Van Dyke",2001
Handy Manny,"Wilmer Valderrama, Carlos Alazraqui, Dee Baker, Nika Futterman, Tom Kenny, Kath Soucie",2006
Hannah Montana,"Miley Cyrus, Emily Osment, Mitchel Musso, Jason Earles, Billy Cyrus",2005
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"Miley Cyrus, Joe Jonas, Kevin Jonas, Nick Jonas, Kenny Ortega, Billy Cyrus",2008
Hannah Montana The Movie,"Miley Cyrus, Emily Osment, Margo Martindale, Jason Earles, Peter Gunn, Melora Hardin",2009
Hatching Pete,"Jason Dolley, Mitchel Musso, Tiffany Thornton, Josie Loren, Sean O'Bryan, Amy Farrington",2009
Hawaiian Holiday,"Walt Disney, Marcellite Garner, Clarence Nash, Pinto Colvig",1937
Heavyweights,"Tom McGowan, Aaron Schwartz, Shaun Weiss, Tom Hodges, Leah Lail, Paul Feig",1995
Herbie Goes Bananas,"Cloris Leachman, Charles Smith, John Vernon, Stephen Burns, Elyssa Davalos, Joaquin Garay  III",1980
Herbie Goes to Monte Carlo,"Dean Jones, Don Knotts, Julie Sommars, Jacques Marin, Roy Kinnear, Bernard Fox",1977
Herbie Rides Again,"Helen Hayes, Ken Berry, Stefanie Powers, John McIntire, Keenan Wynn, Huntz Hall",1974
Hercules,"Tate Donovan, Joshua Keaton, Roger Bart, Danny DeVito, James Woods, Susan Egan",1997
High School Musical,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Alyson Reed, Corbin Bleu",2006
High School Musical 2,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",2007
High School Musical 3: Senior Year,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",2008
High School Musical: The Musical: The Series,"Olivia Rodrigo, Joshua Bassett, Matt Cornett, Sofia Wylie, Larry Saperstein",2019
Hocus Pocus,"Bette Midler, Sarah Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw",1993
Home on the Range,"Roseanne Barr, Judi Dench, Jennifer Tilly, Steve Buscemi, G.W. Bailey, Cuba Gooding Jr.",2004
"Honey, I Blew Up the Kid","Rick Moranis, Marcia Strassman, Lloyd Bridges, Robert Oliveri, John Shea, Keri Russell",1992
"Honey, I Shrunk the Kids","Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland, Thomas Brown, Jared Rushton",1989
"Honey, We Shrunk Ourselves","Rick Moranis, Eve Gordon, Robin Bartlett, Allison Mack, Jake Richardson, Stuart Pankin",1997
Horse Sense,"Joey Lawrence, Andy Lawrence, Susan Walters, M.C. Gainey, Leann Hunley, Robin Thomas",1999
Hostile Planet,Bear Grylls,2019
Hounded,"Tahj Mowry, Shia LaBeouf, Craig Kirkwood, Steven Bendik, Sara Paxton, Rachelle Carson",2001
How Dogs Got Their Shapes,Jake Robards,2016
How to Build a Better Boy,"Ashley Argota, Roger Bart, Kelli Berglund, Noah Centineo, China McClain, Matt Shively",2014
How to Fish,John McLeish,1942
How to Swim,,1942
Hulk and the Agents of S.M.A.S.H.,"Fred Tatasciore, Clancy Brown, Seth Green, Eliza Dushku, Ben Diskin",2012
I'll Be Home for Christmas,"Jonathan Thomas, Jessica Biel, Adam LaVorgna, Gary Cole, Eve Gordon, Lauren Maltby",1998
Ice Age: The Great Egg-Scapade,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",2016
Ice Princess,"Joan Cusack, Kim Cattrall, Michelle Trachtenberg, Hayden Panettiere, Trevor Blumas, Connie Ray",2005
Inner Workings,"Este Haim, Tucker Gilmore, Raymond Persi, Terri Douglas",2016
Inside Out,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling",2015
Inspector Gadget,"Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg, Michael Hagerty, Andy Dick",1999
Inspector Gadget 2,"French Stewart, Elaine Hendrix, Caitlin Wachs, Tony Martin, John Batchelor, Mark Mitchell",2003
Into the Grand Canyon,,2019
Into the Okavango,"Steve Boyes, Dr. Steve Boyes, Chris Boyes, Tumeletso Setlabosha, Gobonamang Kgetho, Adjany Costa",2018
Invincible,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Michael Rispoli, Kevin Conway, Kirk Acevedo",2006
Invisible Sister,"Rowan Blanchard, Paris Berelc, Karan Brar, Rachel Crow, Alex Désert, Will Meyers",2015
Iron Man (Series),"Robert Hays, James Avery, Ed Gilbert, Jim Cummings, Tony Steedman, James Warwick",1994
Iron Man Armored Adventures,"Adrian Petriw, Daniel Bacon, Anna Cummer, Mackenzie Gray, Vincent Tong",2008
Iron Will,"Mackenzie Astin, Kevin Spacey, David Ogden Stiers, August Schellenberg, Brian Cox, George Gerdes",1994
Jack,"Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez, Bill Cosby, Fran Drescher",1996
Jack-Jack Attack,"Bret Parker, Bud Luckey, Eli Fucile, Jason Lee",2005
James and the Giant Peach,"Miriam Margolyes, Joanna Lumley, Pete Postlethwaite, Paul Terry, Simon Callow, Richard Dreyfuss",1996
Jane,Jane Goodall,2017
Jessie,"Debby Ryan, Peyton List, Cameron Boyce, Karan Brar, Skai Jackson, Kevin Chamberlin",2011
Jingle Pols,Dr. Pol,2013
Johnny Kapahala: Back on Board,"Brandon Baker, Robyn Lively, Mary Keller, Yuji Okumoto, Jonathan McDaniel, Andrew Allen",2007
Johnny Tsunami,"Cary-Hiroyuki Tagawa, Brandon Baker, Yuji Okumoto, Mary Keller, Lee Young, Kirsten Storms",1999
Jonas Brothers: The Concert Experience,"Kevin Jonas, Joe Jonas, Nick Jonas, Demi Lovato, Taylor Swift, ""Big Feggans",2009
Journey to Shark Eden,Salvatore Vecchio,2010
Journey to the Center of the Earth,"Pat Boone, James Mason, Arlene Dahl, Diane Baker, Thayer David, Peter Ronson",1959
Jump In!,"Corbin Bleu, David Reivers, Shanica Knowles, Laivan Greene, Kylee Russell, Patrick Johnson Jr.",2007
Jumping Ship,"Joey Lawrence, Matthew Lawrence, Andrew Lawrence, Susan Walters, Stephen Burleigh, Anthony Wong",2001
Jungle 2 Jungle,"Tim Allen, Martin Short, Lolita Davidovich, David Stiers, JoBeth Williams, Sam Huntington",1997
Jungle Cat,Winston Hibler,1960
Kazaam,"Shaquille O'Neal, Francis Capra, Ally Walker, James Acheson, John Costelloe, Marshall Manesh",1996
Kickin' It,"Leo Howard, Dylan Snyder, Mateo Arias, Olivia Holt, Alex Jones, Jason Earles",2010
Kim Possible,"Sadie Stanley, Sean Giambrone, Ciara Wilson, Taylor Ortega, Connie Ray, Issac Brown",2019
Kim Possible Movie: So the Drama,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry, Raven , Gary Cole",2005
Kingdom of the Apes: Battle Lines,Dan Nachtrab,2017
Kingdom of the Blue Whale,Tom Selleck,2009
Kingdom of the White Wolf,Jenny Jules,2019
Kitbull,,2019
Knick Knack Theatrical Short,,2003
Kronk's New Groove,"Patrick Warburton, Tracey Ullman, Eartha Kitt, David Spade, John Goodman, Wendie Malick",2005
La Luna,"Tony Fucile, Krista Sheffler, Phil Sheridan",2012
Lab Rats,"Billy Unger, Spencer Boldman, Kelli Berglund, Tyrel Williams, Hal Sparks",2011
Lady and the Tramp,"Tessa Thompson, Justin Theroux, Sam Elliott, Ashley Jensen, Janelle Monáe, Kiersey Clemons",2019
Lava,"Kuana Kahele, Napua Greig",2015
LEGO Disney Frozen: Northern Lights (Shorts),,2016
LEGO Star Wars: All Stars,"Jasmin Brown, Josh Peck, Zeno Robinson, Max Mittelman, Matthew Wood",2018
LEGO Star Wars: All Stars (Shorts),"Matthew Wood, Yvette Brown, Nicolas Cantu, Carolyn Hennesy, Montse Hernandez, Vanessa Lengies",2018
LEGO Star Wars: Droid Tales,"Tom Kane, Anthony Daniels, Trevor Devall, Kirby Morrow, Sam Vincent, Michael Donovan",2014
LEGO Star Wars: Resistance Rises (Shorts),,2015
LEGO Star Wars: The Freemaker Adventures,"Matt Sloan, Trevor Devall, Greg Baldwin, Michael Daingerfield, Vanessa Lengies, Grey Griffin",2015
LEGO Star Wars: The Freemaker Adventures (Shorts),,2016
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent",2014
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent",2014
LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent",2014
LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Sam Vincent, Kelly Metzger",2014
LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Brian Drummond, Michael Donovan",2014
Lemonade Mouth,"Bridgit Mendler, Adam Hicks, Hayley Kiyoko, Naomi Scott, Blake Michael, Nick Roux",2011
Lend a Paw,,1941
Leroy & Stitch,"Daveigh Chase, Chris Sanders, David Stiers, Kevin McDonald, Tia Carrere, Kevin Michael Richardson",2006
Let it Shine,"Tyler Williams, Coco Jones, Trevor Jackson, Brandon Smith, Dawnn Lewis, Alex Désert",2012
Life is Ruff,"Kyle Massey, Kay Panabaker, Mitchel Musso, Carter Jenkins, Mark Lawrence, Judith Moreland",2005
Life With Mikey,"Michael Fox, Nathan Lane, Cyndi Lauper, David Krumholtz, David Huddleston, Christina Vidal",1993
Life-Size 2,"Tyra Banks, Francia Raisa, Gavin Stenhouse, Hank Chen, Alison Fernandez, Shanica Knowles",2018
Lifted,,2006
Lilo & Stitch,"Daveigh Chase, Christopher Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames",2002
Lilo & Stitch 2: Stitch Has a Glitch,"Christopher Sanders, Dakota Fanning, Tia Carrere, David Stiers, Kevin McDonald, Kunewa Mook",2005
Lizzie McGuire,"Hilary Duff, Lalaine , Adam Lamberg, Jake Thomas, Hallie Todd, Robert Carradine",2000
Lonesome Ghosts,,1937
Lost Treasures of the Maya,Albert Lin,2018
Lou,,2017
Luck of the Irish,"Paul Kiernan, Timothy Omundson, Ryan Merriman, Glenndon Chatman, Henry Gibson, Marita Geraghty",2001
Luxo Jr.,,1986
Magician Mickey,"Pinto Colvig, Walt Disney, Clarence Nash",1937
Mail Dog,,1947
Man Among Cheetahs,Bob Poole,2017
Mars: Inside SpaceX,,2018
Marvel Comics X-Men,"Cedric Smith, Catherine Disher, Alyson Court, Chris Potter, George Buza, Iona Morris",1992
Marvel Rising: Initiation (Shorts),,2017
Marvel Rising: Secret Warriors,"Dee Baker, Chloe Bennet, Kathreen Khavari, Andrew Kishino, Meera Kumbhani, Kamil McFadden",2018
Marvel Studios: Assembling A Universe,"Jeff McNeil, Meghan Leon, Jason Hillhouse, Robert Downey Jr., Clark Gregg, Jon Favreau",2014
Marvel Studios: Expanding the Universe,,2019
Marvel Studios' Ant-Man,"Paul Rudd, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Michael Peña, Tip Harris",2015
Marvel Studios' Avengers: Age of Ultron,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner",2015
Marvel Studios' Avengers: Endgame,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2019
Marvel Studios' Captain America: Civil War,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle",2016
Marvel Studios' Captain America: The First Avenger,"Chris Evans, Tommy Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper",2011
Marvel Studios' Captain America: The Winter Soldier,"Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo",2014
Marvel Studios' Captain Marvel,"Brie Larson, Samuel Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch",2019
Marvel Studios' Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt",2016
Marvel Studios' Guardians of the Galaxy,"Chris Pratt, Zoë Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace",2014
Marvel Studios' Guardians of the Galaxy Vol. 2,"Chris Pratt, Bradley Cooper, Vin Diesel, Pom Klementieff, Zoë Saldana, Dave Bautista",2017
Marvel Studios' Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub",2008
Marvel Studios' Iron Man 2,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Clark Gregg",2010
Marvel Studios' Iron Man 3,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stephanie Szostak",2013
Marvel Studios' The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2012
Marvel Studios' Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård, Kat Dennings",2011
Marvel Studios' Thor: The Dark World,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Rene Russo, Stellan Skarsgård",2013
Marvel Ultimate Spider-Man,"Drake Bell, Chi McBride, Steven Weber, J.K. Simmons, Tom Kenny, Clark Gregg",2011
Marvel's Agent Carter,"Hayley Atwell, James D'Arcy, Chad Murray, Enver Gjokaj, Shea Whigham",2014
Marvel's Ant-Man (Shorts),,2016
Marvel's Avengers Assemble,"Adrian Pasdar, Fred Tatasciore, Roger Smith, Travis Willingham, Troy Baker, Bumper Robinson",2012
Marvel's Avengers: Secret Wars (Shorts),,2016
Marvel's Guardians of the Galaxy (Series),"Will Friedle, Trevor Devall, Kevin Richardson, Vanessa Marshall, David Sobolov",2015
Marvel's Guardians of the Galaxy (Shorts),,2014
Marvel's Hero Project,,2019
Marvel's Inhumans,"Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor, Isabelle Cornish, Ellen Woglom",2017
Marvel's Rocket & Groot (Shorts),,2016
Marvel's Ultimate Comics,"Cole Howard, Brian Drummond",2016
Mary Poppins,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Karen Dotrice",1964
Mater and the Ghostlight,"Larry the Cable Guy , Owen Wilson, Michael Wallis, Bonnie Hunt, Paul Newman, Cheech Marin",2006
Meet the Deedles,"Paul Walker, Steve Wormer, John Ashton, A.J. Langer, Robert Englund, Megan Cavanagh",1998
Meet the Robinsons,"Angela Bassett, Daniel Hansen, Jordan Fry, Matthew Josten, John Ford, Dara McGarry",2007
Melody Time,"Roy Rogers, Trigger , Dennis Day, The Andrews Sisters , Fred Waring and His Pennsylvanians , Freddy Martin",1948
Mickey Down Under,,1948
Mickey Mouse (Shorts),,2012
Mickey Mouse Club (1955-59),,1955
"Mickey, Donald, Goofy: The Three Musketeers","Wayne Allwine, Tony Anselmo, Bill Farmer, Russi Taylor, Tress MacNeille, Jim Cummings",2004
Mickey's Birthday Party,"Walt Disney, Thelma Boardman, Pinto Colvig, Clarence Nash, Florence Gill",1942
Mickey's Christmas Carol,"Alan Young, Wayne Allwine, Hal Smith, Will Ryan, Eddy Carroll, Patricia Parris",1983
Mickey's Delayed Date,,1947
Mickey's Once Upon a Christmas,"Kelsey Grammer, Wayne Allwine, Russi Taylor, Tony Anselmo, Diane Michelle, Tress MacNeille",1999
Mickey's Rival,"Walt Disney, Marcelite Garner, Sonny Dawson",1936
Mickey's Trailer,"Clarence Nash, Pinto Colvig, Walt Disney",1938
Mickey's Twice Upon a Christmas,"Wayne Allwine, Tony Anselmo, Jeff Bennett, Jim Cummings, Bill Farmer, Tress MacNeille",2004
Mighty Joe Young,"Bill Paxton, Charlize Theron, Rade Šerbedžija, Regina King, Peter Firth, Naveen Andrews",1998
Mike's New Car,"Billy Crystal, John Goodman",2002
Minutemen,"Jason Dolley, Luke Benward, Nicholas Braun, Chelsea Staub, Steven McQueen, Kara Crane",2008
Miracle,"Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill",2004
Miracle at Midnight,"Sam Waterston, Mia Farrow, Justin Whalin, Patrick Malahide, Benedick Blythe",1998
Miracle in Lane 2,"Frankie Muniz, Rick Rossovich, Molly Hagan, Patrick Levis, Roger Brown, Tuc Watkins",2000
Miracle Landing on the Hudson,"Todd Boyce, Miriam Lucia, James McGregor, Nathan Nolan, Phillip Wright",2014
Mission to the Sun,"Henry Goodman, Jack Baker",2018
Moana,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Nicole Scherzinger, Jemaine Clement",2016
Mom's Got a Date With a Vampire,"Matthew O'Leary, Laura Vandervoort, Myles Jeffrey, Caroline Rhea, Charles Shaughnessy, Robert Carradine",2000
Monsters University,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn, Joel Murray",2013
"Monsters, Inc.","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly",2001
Motocrossed,"Alana Austin, Riley Smith, Mary-Margaret Humes, Trever O'Brien, Timothy Carhart, Scott Terra",2001
Mr. Boogedy,"Richard Masur, Mimi Kennedy, Benjamin Gregory, David Faustino, Kristy Swanson, Howard Witt",1986
Mr. Duck Steps Out,,1940
Mr. Mouse Takes a Trip,,1940
Mulan II,"Ming-Na Wen, B.D. Wong, Mark Moseley, Lucy Liu, Harvey Fierstein, Sandra Oh",2005
Muppet Moments (Shorts),,2014
Muppet Treasure Island,"Tim Curry, Kevin Bishop, Billy Connolly, Jennifer Saunders, Dave Goelz, Steve Whitmire",1996
Muppets Most Wanted,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire, Eric Jacobson, Dave Goelz",2014
My Favorite Martian,"Jeff Daniels, Christopher Lloyd, Elizabeth Hurley, Daryl Hannah, Wallace Shawn, Christine Ebersole",1999
My Friends Tigger & Pooh,Jim Cummings,2006
National Treasure: Book of Secrets,"Nicolas Cage, Jon Voight, Harvey Keitel, Ed Harris, Diane Kruger, Justin Bartha",2007
Newsies,"Christian Bale, David Moscow, Bill Pullman, Gabriel Damon, Luke Edwards, Max Casella",1992
Newsies: The Broadway Musical,"Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger, Steve Blanchard, Aisha de Haas",2017
Noelle,"Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine",2019
Now You See It,"Alyson Michalka, Johnny Pacar, Frank Langella, Brendan Hill, Chris Olivero, Gabriel Sunday",2005
Olaf's Frozen Adventure,"Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams, John de Lancie",2017
Old Yeller,"Dorothy McGuire, Fess Parker, Jeff York, Chuck Connors, Beverly Washburn, Tommy Kirk",1957
Oliver & Company,"Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan, Roscoe Browne, Sheryl Ralph",1988
Once Upon a Mattress,"Carol Burnett, Tracey Ullman, Denis O'Hare, Zooey Deschanel, Michael Boatman, Edward Hibbert",2005
One Magic Christmas,"Mary Steenburgen, Gary Basaraba, Elizabeth Harnois, Arthur Hill, Wayne Robson, Jan Rubes",1985
One Man Band,,2006
Operation Dumbo Drop,"Danny Glover, Ray Liotta, Denis Leary, Doug Doug, Corin Nemec, Tcheky Karyo",1995
Origins: The Journey of Humankind,"Mark Monroe, Jason Silva",2016
Out of the Box,"Vivian Bayubay, Tony James, Jill Schackner, Aleisha Allen, Cece Cortes, Nicholas Eng",1998
Paris To Pittsburgh,Rachel Brosnahan,2018
Partly Cloudy,"Tony Fucile, Lori Richardson",2009
Party Central,"John Goodman, Billy Crystal, Dave Foley, Sean Hayes, Joel Murray, Charlie Day",2014
Perri,Winston Hibler,1957
Pete's Dragon,"Bryce Howard, Oakes Fegley, Wes Bentley, Karl Urban, Oona Laurence, Isiah Whitlock Jr.",2016
Peter Pan,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins",1953
Peter Pan: Return to Never Land,"Harriet Owen, Blayne Weaver, Corey Burton, Jeff Bennett, Kath Soucie, Andrew McDonough",2002
Phantom of the Megaplex,"Taylor Handley, Corinne Bohrer, Caitlin Wachs, Jacob Smith, Rich Hutchman, John Novak",2000
Phil of the Future,"Ricky Ullman, Amy Bruckner, Craig Anton, Lise Simms, Alyson Michalka",2003
Phineas and Ferb,"Vincent Martella, Ashley Tisdale, Thomas Sangster, Caroline Rhea, Alyson Stoner, Mitchel Musso",2007
Phineas and Ferb the Movie: Across the 2nd Dimension,"Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster, Caroline Rhea, Richard O'Brien, Dan Povenmire",2011
Phineas and Ferb: Mission Marvel,"Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster, Caroline Rhea, Richard O'Brien, Dan Povenmire",2013
Piglet's Big Movie,"John Fiedler, Jim Cummings, Andre Stojka, Kath Soucie, Nikita Hopkins, Peter Cullen",2003
Pinocchio,"Dickie Jones, Christian Rub, Cliff Edwards, Evelyn Venable, Walter Catlett, Charles Judels",1940
Piper,,2016
Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy, Chow Yun-Fat",2007
Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy, Jack Davenport",2006
Pirates of the Caribbean: The Curse of the Black Pearl,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Kevin McNally",2003
Pixar In Real Life,,2019
Pixel Perfect,"Ricky Ullman, Leah Pipes, Spencer Redford, Chris Williams, Tania Gunadi, Porscha Coleman",2004
Planet of the Birds,Rodd Houston,2018
Pluto and the Gopher,,1950
Pluto's Christmas Tree,"Jimmy MacDonald, Pinto Colvig, Clarence Nash, Ruth Clifford, Dessie Miller",1952
Pluto's Surprise Package,,1949
Pluto's Sweater,,1949
Pocahontas,"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers, John Kassir, Russell Means",1995
Pocahontas II: Journey to a New World,"Irene Bedard, Jim Cummings, Donal Gibson, Finola Hughes, Linda Hunt, Judy Kuhn",1998
Pollyanna,"Jane Wyman, Richard Egan, Karl Malden, Nancy Olson, Adolphe Menjou, Donald Crisp",1960
Pooh's Grand Adventure: The Search for Christopher Robin,"Jim Cummings, John Fiedler, Ken Sansom, Andre Stojka, Peter Cullen, Brady Bluhm",1997
Pooh's Heffalump Movie,"Jim Cummings, John Fiedler, Nikita Hopkins, Kath Soucie, Ken Sansom, Peter Cullen",2005
Presto,,2008
Princess Protection Program,"Demi Lovato, Selena Gomez, Nicholas Braun, Molly Hagan, Johnny Rodriguez, Jamie Chung",2009
Purl,"Bret Parker, Emily Davis, Kelsey Mann, Austin Madison, Erik Langley, Michael Daley",2019
Quack Pack,"Tony Anselmo, James Avery, Brian Cummings, E.G. Daily, Jeannie Elias, Pamela Segall",1996
